,Follower,Followee,Weight
962,2034,2003,1
963,2034,2004,1
964,2034,2006,1
965,2034,2012,1
966,2034,2013,1
967,31121,2017,1
968,2088,2023,1
969,2085,2024,1
970,2033,2027,1
971,2027,2033,1
972,2027,2034,1
973,1949,2035,1
974,6929,2045,1
975,1887,2053,1
976,2023,2057,1
977,1883,2061,1
978,6668,2068,1
979,2172,2070,1
980,972,2072,1
981,2425,2077,1
982,2109,2078,1
983,2027,2079,1
984,2109,2084,1
985,2024,2085,1
986,4826,2087,1
987,2221,2088,1
988,2027,2092,1
989,972,2096,1
990,2027,2099,1
991,2070,2100,1
992,972,2103,1
993,1997,2109,1
994,2495,2118,1
995,2109,2120,1
996,3263,2129,1
997,1859,2136,1
998,2507,2138,1
999,2109,2141,1
1000,2221,2142,1
1001,2495,2143,1
1002,2425,2148,1
1003,4895,2150,1
1004,2172,2155,1
1005,2221,2156,1
1006,2167,2157,1
1007,2221,2160,1
1008,2157,2167,1
1009,2070,2172,1
1010,2221,2176,1
1011,2221,2178,1
1012,2760,2179,1
1013,2109,2188,1
1014,2788,2194,1
1015,2221,2197,1
1016,2489,2205,1
1017,2332,2206,1
1018,2221,2207,1
1019,2583,2208,1
1020,2583,2212,1
1021,2221,2213,1
1022,2859,2219,1
1023,2213,2221,1
1024,2859,2222,1
1025,972,2226,1
1026,2254,2228,1
1027,972,2236,1
1028,1988,2237,1
1029,2254,2238,1
1030,972,2242,1
1031,3834,2244,1
1032,4305,2246,1
1033,2869,2248,1
1034,2238,2254,1
1035,972,2255,1
1036,4047,2260,1
1037,2332,2266,1
1038,2309,2270,1
1039,2369,2272,1
1040,1949,2277,1
1041,4342,2279,1
1042,2993,2280,1
1043,2415,2286,1
1044,3582,2287,1
1045,2332,2291,1
1046,3582,2298,1
1047,2495,2305,1
1048,4244,2309,1
1049,84649,2315,1
1050,2788,2318,1
1051,7032,2323,1
1052,6802,2330,1
1053,508,2332,1
1054,2495,2335,1
1055,2726,2341,1
1056,2495,2342,1
1057,2726,2360,1
1058,5592,2363,1
1059,545,2365,1
1060,12444,2366,1
1061,2425,2369,1
1062,2363,2380,1
1063,2369,2384,1
1064,9576,2391,1
1065,2309,2402,1
1066,2157,2404,1
1067,3482,2407,1
1068,6944,2408,1
1069,2286,2415,1
1070,2505,2416,1
1071,2505,2422,1
1072,2534,2423,1
1073,2384,2425,1
1074,2431,2430,1
1075,2430,2431,1
1076,2430,2436,1
1077,2430,2447,1
1078,2430,2450,1
1079,2430,2460,1
1080,2974,2467,1
1081,3248,2472,1
1082,3806,2475,1
1083,84649,2476,1
1084,2571,2479,1
1085,2138,2484,1
1086,4402,2485,1
1087,84649,2486,1
1088,2974,2489,1
1089,31121,2491,1
1090,2118,2495,1
1091,84649,2496,1
1092,5632,2500,1
1093,2534,2502,1
1094,2422,2505,1
1095,2512,2506,1
1096,2484,2507,1
1097,6599,2509,1
1098,3386,2511,1
1099,5303,2512,1
1100,2479,2514,1
1101,84649,2519,1
1102,6599,2523,1
1103,2138,2526,1
1104,2548,2530,1
1105,2623,2534,1
1106,5303,2543,1
1107,4402,2548,1
1108,10232,2562,1
1109,2726,2566,1
1110,2489,2568,1
1111,1862,2569,1
1112,2479,2571,1
1113,2422,2573,1
1114,769,2574,1
1115,2489,2575,1
1116,3742,2576,1
1117,84649,2579,1
1118,16091,2582,1
1119,2238,2583,1
1120,2422,2585,1
1121,3101,2590,1
1122,2500,2591,1
1123,2660,2593,1
1124,2543,2604,1
1125,13815,2606,1
1126,4297,2610,1
1127,2660,2618,1
1128,1883,2619,1
1129,2534,2623,1
1130,2660,2641,1
1131,6343,2651,1
1132,3203,2660,1
1133,3203,2661,1
1134,2726,2669,1
1135,2745,2670,1
1136,2760,2675,1
1137,2422,2678,1
1138,2479,2683,1
1139,7802,2684,1
1140,1670,2685,1
1141,2990,2686,1
1142,2745,2690,1
1143,2718,2703,1
1144,2179,2709,1
1145,2690,2710,1
1146,2703,2718,1
1147,2534,2720,1
1148,3742,2721,1
1149,2686,2726,1
1150,2548,2731,1
1151,2684,2732,1
1152,3742,2744,1
1153,2690,2745,1
1154,2479,2750,1
1155,2590,2753,1
1156,2179,2760,1
1157,2703,2770,1
1158,7802,2775,1
1159,2686,2780,1
1160,4676,2781,1
1161,2832,2783,1
1162,2869,2788,1
1163,2726,2792,1
1164,1975,2806,1
1165,3934,2817,1
1166,2590,2825,1
1167,2869,2831,1
1168,3058,2832,1
1169,3058,2836,1
1170,84649,2838,1
1171,2721,2842,1
1172,1859,2850,1
1173,2690,2857,1
1174,3742,2858,1
1175,2869,2859,1
1176,7015,2867,1
1177,2964,2869,1
1178,1966,2874,1
1179,4150,2876,1
1180,2590,2877,1
1181,2422,2881,1
1182,2964,2890,1
1183,84649,2900,1
1184,2721,2906,1
1185,2937,2908,1
1186,1670,2914,1
1187,2957,2916,1
1188,2726,2920,1
1189,3140,2923,1
1190,5093,2937,1
1191,2686,2938,1
1192,1407,2952,1
1193,1547,2957,1
1194,2869,2964,1
1195,2467,2974,1
1196,5303,2978,1
1197,2686,2990,1
1198,2280,2993,1
1199,2703,3000,1
1200,2686,3010,1
1201,3056,3022,1
1202,2703,3033,1
1203,3463,3037,1
1204,1667,3045,1
1205,2923,3052,1
1206,2721,3055,1
1207,3022,3056,1
1208,2703,3058,1
1209,2817,3065,1
1210,2831,3089,1
1211,2831,3091,1
1212,3263,3095,1
1213,2923,3101,1
1214,2246,3105,1
1215,3594,3110,1
1216,5163,3122,1
1217,6071,3130,1
1218,3151,3134,1
1219,2150,3139,1
1220,2923,3140,1
1221,2179,3144,1
1222,6802,3147,1
1223,3220,3150,1
1224,3196,3151,1
1225,1407,3157,1
1226,2993,3161,1
1227,3463,3173,1
1228,3195,3176,1
1229,7802,3182,1
1230,4062,3188,1
1231,3463,3191,1
1232,3176,3195,1
1233,3151,3196,1
1234,3056,3199,1
1235,2641,3203,1
1236,5163,3214,1
1237,14219,3215,1
1238,3530,3220,1
1239,5952,3222,1
1240,3463,3243,1
1241,2511,3248,1
1242,4062,3262,1
1243,3463,3263,1
1244,3400,3270,1
1245,3497,3276,1
1246,4675,3277,1
1247,2867,3283,1
1248,2867,3286,1
1249,4675,3288,1
1250,2721,3292,1
1251,2590,3293,1
1252,3263,3303,1
1253,2721,3306,1
1254,3400,3307,1
1255,2783,3311,1
1256,2721,3321,1
1257,3195,3329,1
1258,84649,3339,1
1259,2511,3349,1
1260,4342,3351,1
1261,2179,3372,1
1262,3449,3374,1
1263,84649,3380,1
1264,3501,3384,1
1265,2511,3386,1
1266,3453,3394,1
1267,3307,3400,1
1268,3173,3406,1
1269,3414,3407,1
1270,2721,3409,1
1271,3407,3414,1
1272,2993,3417,1
1273,3448,3427,1
1274,3885,3429,1
1275,3453,3436,1
1276,3801,3444,1
1277,4594,3448,1
1278,4594,3449,1
1279,3394,3453,1
1280,3173,3463,1
1281,3394,3464,1
1282,2661,3466,1
1283,3801,3468,1
1284,3394,3469,1
1285,3497,3473,1
1286,3394,3477,1
1287,2179,3478,1
1288,4723,3479,1
1289,3277,3482,1
1290,2817,3483,1
1291,8784,3490,1
1292,3684,3493,1
1293,3887,3497,1
1294,3384,3501,1
1295,3887,3509,1
1296,3394,3513,1
1297,5690,3514,1
1298,3394,3520,1
1299,3394,3522,1
1300,3501,3530,1
1301,554,3535,1
1302,84649,3542,1
1303,84649,3545,1
1304,3122,3550,1
1305,3394,3555,1
1306,5419,3566,1
1307,84649,3568,1
1308,6266,3570,1
1309,3614,3576,1
1310,3969,3577,1
1311,3453,3579,1
1312,4062,3582,1
1313,2726,3593,1
1314,3731,3594,1
1315,2103,3597,1
1316,3262,3598,1
1317,2495,3604,1
1318,3614,3605,1
1319,2222,3607,1
1320,9353,3614,1
1321,2103,3626,1
1322,84649,3630,1
1323,3176,3632,1
1324,1407,3633,1
1325,6802,3638,1
1326,3477,3641,1
1327,3570,3644,1
1328,2467,3655,1
1329,2103,3657,1
1330,3400,3659,1
1331,3463,3667,1
1332,2103,3674,1
1333,3448,3684,1
1334,84649,3720,1
1335,4308,3731,1
1336,4941,3732,1
1337,3497,3733,1
1338,6071,3734,1
1339,2103,3735,1
1340,3684,3740,1
1341,2858,3742,1
1342,84649,3743,1
1343,84649,3754,1
1344,84649,3755,1
1345,6071,3758,1
1346,3477,3764,1
1347,84649,3766,1
1348,3787,3772,1
1349,3853,3775,1
1350,2422,3776,1
1351,3414,3777,1
1352,2817,3782,1
1353,2817,3783,1
1354,3772,3787,1
1355,2511,3794,1
1356,2817,3801,1
1357,4054,3806,1
1358,2817,3816,1
1359,3885,3822,1
1360,6071,3824,1
